author;revision;;Count of Day;Number of days;date;date;time;Count of Date;Number of Date;number_of_lines;;comment;;;;;
Thomas;r1546414;Tuesday;;;17/11/2015;Nov;14:09:45;;;7;1;Merged from android-15.2-solutions-att-m PHONE-2017: PHONE-2019: Android - Timeline Search in Month Folder Merged from trunk: ANDINTL-3373: 15.2 | 15.2.30 | PC Home Screen | Search functionality is not working within the Timeline Month Folders [from revision 1543798] PHONE-2061: Phone 2.0 - Favorited Documents is not showing up under favorite tile. [from revision 1544784] PHONE-2082: Phone - Cannot unfav a doc from documents view Merged from trunk: ANDINTL-3420 Ability to unfavorite files on mobile [from revision 1545058] Fixed FTRPC-410: Frontier - Favorited Documents is not showing up under favorite tile.;;;;;
/OU=Domain Control Validated/CN=svn.company.net;r1545714;Monday;;;16/11/2015;Nov;15:35:27;;;1;1;[gradle-release] prepare for next development iteration;;;;;
Jimmy;r1545674;Monday;;;16/11/2015;Nov;14:47:41;;;1;1;Reverted to older cloud sdk;;;;;
Jimmy;r1545670;Monday;;;16/11/2015;Nov;14:40:00;;;1;1;Reverted to older cloud sdk;;;;;
Jimmy;r1545663;Monday;;;16/11/2015;Nov;14:35:39;;;1;1;Changed minSDK;;;;;
Jimmy;r1545657;Monday;;;16/11/2015;Nov;14:30:47;;;1;1;Dropped SDK version;;;;;
Jimmy;r1545652;Monday;;;16/11/2015;Nov;14:26:50;;;1;1;UPdated;;;;;
Jimmy;r1545628;Monday;;;16/11/2015;Nov;13:45:04;;;1;1;Added sfr module;;;;;
Dave;r1544560;Thursday;;;12/11/2015;Nov;20:10:20;;;1;1;fix the build for the jacoco agent warnings;;;;;
Jimmy;r1544422;Thursday;;;12/11/2015;Nov;15:48:11;;;1;1;FRT only;;;;;
Jimmy;r1544421;Thursday;;;12/11/2015;Nov;15:47:49;;;1;1;Fixed unit test;;;;;
Jimmy;r1544404;Thursday;;;12/11/2015;Nov;15:31:13;;;1;1;Fixed unit test;;;;;
Jimmy;r1544362;Thursday;;;12/11/2015;Nov;14:37:08;;;1;1;Modified test;;;;;
Jimmy;r1544360;Thursday;;;12/11/2015;Nov;14:31:35;;;1;1;Modified test;;;;;
